node,in_degree,out_degree,pagerank
713,60.0,81.0,0.0027560336445334897
3156,37.0,36.0,0.0020070642829977253
3626,4.0,5.0,0.0016912322715949223
2848,22.0,18.0,0.0016335532310114253
1152,72.0,15.0,0.0016192894592404357
960,15.0,6.0,0.0015797214732752977
5937,3.0,5.0,0.0015509135476386483
693,5.0,1.0,0.0014353283280083386
701,5.0,1.0,0.001429759733290659
4344,52.0,5.0,0.0013629861755565166
5817,4.0,1.0,0.0013553712481547751
205,5.0,3.0,0.00134755614387265
998,18.0,10.0,0.001332994300359365
5700,6.0,2.0,0.0013202389204419395
4365,32.0,41.0,0.0013088366405938176
695,42.0,23.0,0.0012989091788992366
211,8.0,1.0,0.001294970720269427
2433,14.0,26.0,0.0012918906236697456
3017,25.0,20.0,0.00128588670071067
4089,6.0,4.0,0.0012379676923545287
3631,7.0,1.0,0.0012270460545954235
2793,20.0,13.0,0.0012261165350005594
5950,6.0,2.0,0.001215589849696363
456,15.0,17.0,0.0012022227326328075
1620,10.0,1.0,0.0011713649601985602
2943,22.0,10.0,0.0011632600592719757
82,34.0,26.0,0.0011590082526164438
5238,5.0,1.0,0.0011534385321004543
1852,28.0,1.0,0.0011206494511236613
2985,16.0,22.0,0.0011133312657948518
3064,7.0,1.0,0.0011121996171034529
950,11.0,7.0,0.0011064021772193371
4095,4.0,2.0,0.0010989583424661565
4787,5.0,1.0,0.0010948676885904863
398,5.0,1.0,0.001094464315932751
4168,4.0,1.0,0.0010849252133933276
4795,5.0,1.0,0.0010718627394069615
64,3.0,4.0,0.0010562889711853906
2345,4.0,7.0,0.0010438998765533688
1632,1.0,1.0,0.0010430300468163116
4161,4.0,2.0,0.0010416917557756397
3036,10.0,10.0,0.0010352971855119753
3218,30.0,17.0,0.0010352684868186475
5237,1.0,3.0,0.0010145697655991853
1461,5.0,3.0,0.0010128847607255007
1095,12.0,10.0,0.0010112416644996478
5862,7.0,5.0,0.0010109502441759295
1319,2.0,3.0,0.0010090548764049845
3357,13.0,10.0,0.0010051680025250744
1846,1.0,3.0,0.0010037275709966524
397,1.0,1.0,0.0009960191539292776
1099,5.0,6.0,0.0009959767881341638
3067,1.0,2.0,0.0009888402751242786
6579,19.0,15.0,0.0009852326078309663
6606,2.0,1.0,0.000970529456264241
55,5.0,1.0,0.0009614990166176484
2335,5.0,2.0,0.0009589156169406189
4714,3.0,1.0,0.0009538393616850733
3234,24.0,18.0,0.0009458297920809374
4709,2.0,1.0,0.0009390852733295391
6605,2.0,1.0,0.0009389332095171236
4120,9.0,9.0,0.0009354070353203502
240,2.0,2.0,0.0008931539264570936
1438,3.0,2.0,0.0008925714839262083
4821,5.0,2.0,0.0008747492780204402
883,22.0,29.0,0.0008745477593832768
4060,6.0,4.0,0.0008728366978035512
1602,10.0,9.0,0.0008678836030068597
5559,22.0,7.0,0.0008593837864484603
3762,4.0,1.0,0.0008465412914317752
3163,3.0,1.0,0.0008447740636553384
4096,13.0,8.0,0.000838452144746376
2606,4.0,2.0,0.0008379818605250718
5185,4.0,1.0,0.0008363858822000615
6563,14.0,8.0,0.0008302707279729757
5970,3.0,1.0,0.0008291054236202123
3760,3.0,1.0,0.0008276147185130473
5174,7.0,4.0,0.000826299085778175
6075,3.0,2.0,0.0008251356671725701
5097,2.0,1.0,0.0008246235764951105
1664,3.0,1.0,0.000815751110429371
