z,y,x,pre_id,post_id,score
32,236,175,3256,3261,0.828947901725769
32,10,208,3017,3242,0.824718713760376
32,65,128,3245,3154,0.8154386878013611
32,146,99,3184,3250,0.807904839515686
32,224,181,3256,3261,0.8025382161140442
32,77,133,3154,3245,0.7981468439102173
32,9,242,3242,3156,0.7977339625358582
32,245,193,3262,3265,0.794537365436554
32,192,41,3218,3257,0.7882348299026489
32,220,150,3222,3234,0.7845697999000549
32,231,172,3256,3222,0.7838455438613892
32,211,76,3260,3218,0.7832362055778503
32,72,156,3154,3156,0.7823997735977173
32,28,208,3017,3156,0.7822835445404053
32,215,94,3218,3234,0.7816054821014404
32,249,36,3264,3259,0.7768723964691162
32,229,12,3213,3259,0.7739811539649963
32,200,143,3234,3222,0.7731138467788696
32,183,18,3213,3218,0.7730186581611633
32,212,50,3257,3264,0.7669868469238281
32,160,90,3218,3250,0.7647243142127991
32,223,190,3262,3261,0.7630033493041992
32,209,22,3213,3259,0.7628093957901001
32,210,58,3218,3264,0.7614676356315613
32,216,51,3264,3257,0.7595923542976379
32,218,144,3222,3234,0.7538337707519531
32,210,85,3260,3218,0.753002941608429
32,222,12,3213,3259,0.7493100762367249
32,4,18,3237,3146,0.7485811114311218
32,212,13,3259,3213,0.7485469579696655
32,242,223,3266,3265,0.7482014894485474
32,233,6,3213,3263,0.7474592328071594
32,222,43,3257,3264,0.7469099164009094
32,46,195,3156,3017,0.743753969669342
32,158,100,3254,3250,0.7428871393203735
32,145,93,3184,3250,0.7414779663085938
32,8,109,3154,3240,0.740138053894043
32,163,96,3254,3250,0.7323796153068542
32,226,172,3222,3256,0.730252742767334
32,248,187,3265,3222,0.7276089787483215
32,214,79,3260,3218,0.720306932926178
32,237,70,3264,3260,0.7188935875892639
32,249,198,3262,3265,0.7154548168182373
32,46,189,3156,3017,0.7110510468482971
32,220,156,3222,3258,0.7085332274436951
32,20,220,3017,3156,0.7084587812423706
32,184,45,3257,3218,0.7071917057037354
32,233,95,3260,3234,0.7062764167785645
32,240,170,3261,3222,0.7001848220825195
32,215,155,3222,3258,0.6989498138427734
32,18,216,3156,3017,0.6972118616104126
32,229,90,3260,3234,0.6964841485023499
32,190,50,3257,3218,0.695889949798584
32,219,36,3257,3259,0.6954275369644165
32,253,224,3265,3266,0.6942050457000732
32,233,70,3260,3264,0.6932556629180908
32,220,48,3257,3264,0.691027820110321
32,88,4,3247,3248,0.6900826692581177
32,44,177,3156,3017,0.6889361143112183
32,242,179,3261,3222,0.6887127757072449
32,16,213,3017,3242,0.6814945340156555
32,214,24,3213,3259,0.6806439757347107
32,228,191,3262,3261,0.6788221597671509
32,178,73,3255,3218,0.6788191199302673
32,249,20,3263,3259,0.6771407723426819
32,239,190,3262,3261,0.6731793880462646
32,12,213,3017,3242,0.6689774394035339
32,184,73,3255,3218,0.6687121987342834
32,142,88,3184,3250,0.6659025549888611
32,225,88,3260,3234,0.6654443740844727
32,181,92,3234,3218,0.6646382212638855
32,157,43,3218,3251,0.6637965440750122
32,218,176,3256,3222,0.6602369546890259
32,239,39,3264,3259,0.6568037867546082
32,190,24,3218,3257,0.6526342034339905
32,189,21,3213,3218,0.6512303948402405
32,16,156,3153,3154,0.6476907730102539
32,45,172,3156,3153,0.6460756659507751
32,250,222,3266,3265,0.6452106237411499
32,17,231,3156,3242,0.6427629590034485
32,228,102,3260,3234,0.6363964080810547
32,17,176,3153,3017,0.6360552310943604
32,191,70,3255,3218,0.6359004974365234
32,42,157,3156,3153,0.6339626908302307
32,218,65,3264,3218,0.6328735947608948
32,17,209,3017,3242,0.6320576667785645
32,34,208,3156,3017,0.6317453980445862
32,232,105,3260,3234,0.6303204894065857
32,211,143,3222,3234,0.629128098487854
32,201,93,3234,3218,0.6274089813232422
32,94,245,3156,3246,0.6256963610649109
32,12,174,3153,3017,0.6233001947402954
32,185,26,3218,3257,0.6232925653457642
32,152,48,3218,3251,0.6226730346679688
32,225,72,3260,3218,0.621381402015686
32,220,77,3260,3218,0.6208446025848389
32,219,172,3222,3256,0.6203656196594238
32,142,84,3184,3250,0.6194023489952087
32,19,180,3153,3017,0.617725133895874
32,238,110,3260,3234,0.6131876707077026
32,216,161,3222,3258,0.6104443669319153
32,158,50,3218,3251,0.6065518856048584
32,240,185,3261,3222,0.6022366881370544
32,153,41,3218,3251,0.6005638837814331
32,229,38,3264,3259,0.5986579060554504
32,193,88,3234,3218,0.5983269214630127
32,44,148,3156,3153,0.5931332111358643
32,182,31,3218,3257,0.5849387049674988
32,198,32,3218,3257,0.5842833518981934
32,193,33,3218,3257,0.5823174715042114
32,244,16,3263,3259,0.5752943158149719
32,49,166,3153,3156,0.5752727389335632
32,150,47,3218,3251,0.572654128074646
32,10,156,3153,3154,0.5719501972198486
32,23,148,3153,3154,0.5682161450386047
32,31,177,3153,3017,0.5640726685523987
32,231,32,3264,3259,0.5600883364677429
32,211,32,3257,3259,0.5529755353927612
32,36,175,3153,3017,0.5512479543685913
32,160,45,3218,3251,0.5507821440696716
32,40,176,3153,3017,0.5467732548713684
32,60,154,3154,3156,0.5426322221755981
32,48,203,3017,3156,0.5336442589759827
32,240,17,3263,3259,0.5288715362548828
32,240,12,3263,3259,0.528199315071106
32,206,33,3257,3259,0.5213904976844788
32,12,233,3156,3242,0.520067572593689
32,234,43,3264,3259,0.5181084275245667
32,233,154,3222,3234,0.5169677138328552
46,37,7,4478,4458,0.5166528820991516
46,37,58,4478,4464,0.5166528820991516
46,37,69,4478,4466,0.5166528820991516
46,37,55,4478,4464,0.5166528820991516
46,37,52,4478,4463,0.5166528820991516
46,37,49,4478,4463,0.5166528820991516
46,37,4,4478,4457,0.5166528820991516
46,37,29,4478,4461,0.5166528820991516
46,37,45,4478,4463,0.5166528820991516
46,37,42,4478,4462,0.5166528820991516
46,37,12,4478,4458,0.5166528820991516
46,37,17,4478,4459,0.5166528820991516
46,37,36,4478,4461,0.5166528820991516
46,37,33,4478,4461,0.5166528820991516
46,37,20,4478,4459,0.5166528820991516
46,37,23,4478,4460,0.5166528820991516
46,37,66,4478,4465,0.5166528820991516
46,37,62,4478,4465,0.5166528820991516
46,37,73,4478,4466,0.5166528820991516
32,26,147,3153,3154,0.5127954483032227
32,253,183,3265,3222,0.5096812844276428
32,83,244,3156,3246,0.4913599491119385
29,208,124,2793,3036,0.4905356764793396
32,46,166,3156,3153,0.49013471603393555
32,3,202,3242,3017,0.48910316824913025
32,245,4,3263,3213,0.4870949685573578
29,233,99,2793,3042,0.47908997535705566
29,21,200,3012,3017,0.47833552956581116
29,187,155,3034,3036,0.4771672785282135
46,243,87,4563,4550,0.4749027490615845
46,122,179,4511,4529,0.4745597839355469
46,126,128,4381,4527,0.47413358092308044
46,48,141,4467,4365,0.4704509973526001
29,39,109,2919,2943,0.46951255202293396
32,12,185,3241,3017,0.4677134156227112
46,124,198,4511,4529,0.46713778376579285
32,15,225,3156,3242,0.46601906418800354
46,133,89,4540,4386,0.4651848077774048
46,57,203,4468,4164,0.4629897177219391
29,217,173,2985,3043,0.4618845582008362
32,26,249,3243,3156,0.460911363363266
29,245,34,3048,3047,0.4598594009876251
46,140,101,4540,4386,0.45821794867515564
32,226,31,3264,3259,0.4569079279899597
29,57,29,3027,3022,0.4563756585121155
46,106,111,4365,4515,0.4547578990459442
29,205,151,3036,3037,0.4533560276031494
32,216,30,3259,3257,0.4523974061012268
29,211,174,3043,2985,0.45214277505874634
46,8,41,4437,4344,0.45061469078063965
46,8,24,4435,4344,0.45061469078063965
46,8,56,4439,4344,0.45061469078063965
46,8,9,4433,4344,0.45061469078063965
46,8,72,4441,4344,0.45061469078063965
46,8,76,4441,4344,0.45061469078063965
46,8,14,4434,4344,0.45061466097831726
46,8,18,4434,4344,0.45061466097831726
46,8,21,4435,4344,0.45061466097831726
46,8,7,4433,4344,0.45061466097831726
46,8,29,4436,4344,0.45061466097831726
46,8,35,4436,4344,0.45061466097831726
46,8,44,4437,4344,0.45061466097831726
46,8,37,4437,4344,0.45061466097831726
46,8,47,4438,4344,0.45061466097831726
46,8,50,4438,4344,0.45061466097831726
46,8,53,4439,4344,0.45061466097831726
46,8,61,4440,4344,0.45061466097831726
46,8,66,4440,4344,0.45061466097831726
46,8,68,4440,4344,0.45061466097831726
46,8,2,4432,4344,0.45061466097831726
29,14,85,3006,3005,0.4502156972885132
46,114,159,4381,4514,0.44966116547584534
46,37,116,4365,4344,0.4493250846862793
46,87,127,4510,4508,0.449065625667572
29,11,154,3014,3008,0.4490426182746887
32,26,142,3154,3153,0.44880956411361694
46,58,88,4478,4365,0.44820457696914673
29,44,48,3022,3024,0.44786691665649414
29,36,228,3017,2918,0.4477268159389496
46,15,32,4450,4344,0.44688209891319275
46,15,39,4451,4344,0.44688209891319275
46,15,63,4454,4344,0.44688209891319275
46,15,42,4451,4344,0.44688209891319275
46,15,9,4447,4344,0.44688209891319275
46,15,48,4452,4344,0.44688209891319275
46,15,26,4449,4344,0.44688209891319275
46,15,16,4448,4344,0.44688209891319275
46,15,56,4453,4344,0.44688209891319275
46,15,73,4455,4344,0.44688209891319275
46,15,2,4446,4344,0.44688206911087036
46,15,67,4454,4344,0.44688206911087036
46,15,70,4455,4344,0.44688206911087036
46,15,30,4450,4344,0.44688206911087036
46,15,54,4453,4344,0.44688206911087036
46,15,6,4447,4344,0.44688206911087036
46,15,36,4450,4344,0.446882039308548
46,15,4,4446,4344,0.446882039308548
46,15,13,4448,4344,0.446882039308548
46,15,45,4452,4344,0.446882039308548
29,30,155,3014,2938,0.4467104971408844
46,38,210,4352,4468,0.4454013407230377
46,230,168,4566,4429,0.445307195186615
46,8,84,4441,4344,0.44470787048339844
46,15,81,4455,4344,0.44427964091300964
32,7,185,3241,3017,0.4438014328479767
46,142,136,4381,4527,0.44365260004997253
29,25,75,3021,3005,0.4424821734428406
46,60,182,4365,4164,0.44131922721862793
29,67,183,2938,2934,0.4406074583530426
46,25,175,4352,4365,0.43987274169921875
32,48,162,3156,3153,0.43689510226249695
29,40,46,3013,3022,0.4359652101993561
33,11,9,3279,3282,0.4358813762664795
33,11,16,3279,3283,0.4358813762664795
33,11,38,3279,3286,0.4358813762664795
33,11,12,3279,3282,0.4358813762664795
33,11,25,3279,3284,0.4358813762664795
33,11,28,3279,3284,0.4358813762664795
33,11,32,3279,3285,0.4358813762664795
33,11,6,3279,3282,0.4358813762664795
33,11,20,3279,3283,0.4358813762664795
33,11,3,3279,3281,0.4358813762664795
29,189,176,2985,3034,0.43524861335754395
46,29,226,4443,4360,0.43494391441345215
